time,"I(LIP|XI3|XN_05_)"
3.800000e-11,-2.345531e-07
3.820000e-11,-2.378635e-07
3.840000e-11,-2.424534e-07
3.860000e-11,-2.477439e-07
3.880000e-11,-2.531198e-07
3.900000e-11,-2.579997e-07
3.920000e-11,-2.618962e-07
3.940000e-11,-2.644633e-07
3.960000e-11,-2.655243e-07
3.980000e-11,-2.650783e-07
4.000000e-11,-2.632865e-07
4.020000e-11,-2.604405e-07
4.040000e-11,-2.569201e-07
4.060000e-11,-2.531437e-07
4.080000e-11,-2.495213e-07
4.100000e-11,-2.464115e-07
4.120000e-11,-2.440893e-07
4.140000e-11,-2.427251e-07
4.160000e-11,-2.423764e-07
4.180000e-11,-2.429930e-07
4.200000e-11,-2.444312e-07
4.220000e-11,-2.464780e-07
4.240000e-11,-2.488794e-07
4.260000e-11,-2.513703e-07
4.280000e-11,-2.537031e-07
4.300000e-11,-2.556701e-07
4.320000e-11,-2.571199e-07
4.340000e-11,-2.579658e-07
4.360000e-11,-2.581859e-07
4.380000e-11,-2.578182e-07
4.400000e-11,-2.569490e-07
4.420000e-11,-2.557002e-07
4.440000e-11,-2.542136e-07
4.460000e-11,-2.526364e-07
4.480000e-11,-2.511086e-07
4.500000e-11,-2.497516e-07
4.520000e-11,-2.486613e-07
4.540000e-11,-2.479031e-07
4.560000e-11,-2.475113e-07
4.580000e-11,-2.474902e-07
4.600000e-11,-2.478171e-07
4.620000e-11,-2.484468e-07
4.640000e-11,-2.493169e-07
4.660000e-11,-2.503524e-07
4.680000e-11,-2.514711e-07
4.700000e-11,-2.525881e-07
4.720000e-11,-2.536208e-07
4.740000e-11,-2.544936e-07
4.760000e-11,-2.551421e-07
4.780000e-11,-2.555176e-07
4.800000e-11,-2.555908e-07
4.820000e-11,-2.553542e-07
4.840000e-11,-2.548241e-07
4.860000e-11,-2.540403e-07
4.880000e-11,-2.530641e-07
4.900000e-11,-2.519748e-07
4.920000e-11,-2.508641e-07
